크기,무게(ton),속도(km_h),색상,제로백(sec),차량발매연도,정지거리(m)
중형,1.05,88.2,붉은색,29.9,2019,46.305
대형,1.48,81.6,푸른색,11.9,2014,60.384
소형,1.1,82.6,분홍색,28.0,2016,45.43
대형,1.41,84.2,붉은색,22.4,2010,59.361
대형,1.33,75.9,푸른색,20.5,2007,50.474
소형,1.07,86.6,검은색,15.3,2011,46.331
대형,1.49,84.6,붉은색,9.3,2020,63.027
대형,1.28,77.2,검은색,16.5,2013,49.408
중형,1.29,97.8,회색,9.6,2012,63.081
대형,1.29,73.6,흰색,9.7,2009,47.472
대형,1.47,82.9,푸른색,26.3,2007,60.931
중형,1.1,113.1,분홍색,15.3,2008,62.205
대형,1.33,87.0,푸른색,18.2,2010,57.855
대형,1.48,84.4,회색,27.7,2012,62.456
소형,1.0,92.7,푸른색,14.0,2018,46.35
소형,0.96,84.3,회색,27.1,2017,40.464
소형,0.91,101.7,초록색,8.0,2019,46.274
중형,1.28,92.7,붉은색,16.8,2020,59.328
대형,1.35,74.2,초록색,26.0,2018,50.085
대형,1.25,80.7,붉은색,17.0,2005,50.438
대형,1.37,78.6,푸른색,12.3,2020,53.841
중형,1.06,102.5,회색,17.9,2013,54.325
중형,1.06,96.6,검은색,12.0,2012,51.198
대형,1.27,81.7,분홍색,18.3,2015,51.88
소형,0.94,109.6,흰색,29.9,2008,51.512
중형,1.16,95.2,검은색,16.0,2021,55.216
대형,1.4,73.8,회색,22.2,2019,51.66
중형,1.11,85.6,붉은색,16.4,2011,47.508
중형,1.13,86.2,검은색,29.7,2008,48.703
대형,1.47,72.5,초록색,10.2,2006,53.288
소형,0.99,99.1,흰색,15.7,2012,49.055
대형,1.29,82.4,흰색,15.1,2014,53.148
대형,1.3,72.8,회색,15.4,2011,47.32
대형,1.33,80.8,회색,20.7,2014,53.732
소형,1.09,91.3,회색,7.2,2009,49.759
중형,1.12,82.6,흰색,25.8,2018,46.256
중형,1.28,120.9,푸른색,10.3,2011,77.376
대형,1.38,80.7,초록색,22.6,2009,55.683
소형,1.04,103.4,흰색,12.8,2020,53.768
대형,1.32,84.1,회색,29.3,2006,55.506
중형,1.28,102.7,검은색,28.4,2011,65.728
대형,1.38,78.5,검은색,18.3,2008,54.165
대형,1.26,76.3,붉은색,15.8,2020,48.069
소형,1.05,95.2,회색,20.8,2021,49.98
대형,1.26,80.6,분홍색,19.9,2014,50.778
중형,1.15,104.1,흰색,11.2,2018,59.858
소형,0.99,80.9,푸른색,12.8,2017,40.046
대형,1.47,77.3,흰색,29.7,2017,56.816
소형,0.95,83.2,회색,29.5,2021,39.52
소형,0.92,85.8,흰색,13.4,2007,39.468
중형,1.11,105.9,붉은색,26.8,2011,58.775
소형,0.95,86.2,붉은색,28.8,2015,40.945
대형,1.47,82.1,검은색,10.0,2013,60.344
소형,1.0,94.7,검은색,28.2,2019,47.35
대형,1.4,75.9,흰색,20.9,2018,53.13
중형,1.12,94.4,분홍색,12.3,2008,52.864
중형,1.1,91.2,회색,18.0,2020,50.16
소형,1.04,85.0,초록색,28.7,2007,44.2
대형,1.34,87.1,붉은색,22.7,2021,58.357
소형,0.94,95.6,푸른색,25.0,2011,44.932
대형,1.41,85.2,검은색,9.1,2007,60.066
소형,1.08,106.7,푸른색,12.3,2007,57.618
소형,0.96,87.9,검은색,9.9,2020,42.192
대형,1.41,78.7,분홍색,19.7,2020,55.483
소형,0.99,105.1,흰색,29.2,2015,52.025
소형,0.99,88.6,검은색,8.0,2015,43.857
중형,1.3,103.5,푸른색,27.2,2017,67.275
중형,1.06,110.4,흰색,22.9,2020,58.512
대형,1.32,81.3,분홍색,28.0,2006,53.658
소형,1.1,108.9,붉은색,28.3,2013,59.895
중형,1.27,108.4,흰색,10.0,2005,68.834
대형,1.37,87.5,검은색,7.4,2014,59.938
대형,1.36,82.6,분홍색,19.3,2016,56.168
대형,1.4,84.0,분홍색,23.7,2015,58.8
소형,1.06,108.7,흰색,19.9,2021,57.611
소형,0.98,85.3,검은색,12.2,2017,41.797
중형,1.12,83.0,붉은색,23.1,2014,46.48
소형,1.02,80.8,초록색,26.0,2014,41.208
대형,1.49,87.2,검은색,11.2,2011,64.964
대형,1.29,81.6,푸른색,15.8,2005,52.632
대형,1.25,81.0,회색,11.1,2012,50.625
중형,1.3,95.8,회색,16.3,2006,62.27
대형,1.32,88.3,분홍색,21.6,2020,58.278
소형,0.91,81.3,붉은색,22.9,2018,36.992
소형,1.03,99.2,회색,23.1,2012,51.088
소형,1.1,80.9,붉은색,25.8,2015,44.495
소형,1.07,91.4,회색,10.8,2006,48.899
중형,1.2,83.4,분홍색,18.7,2016,50.04
소형,0.96,105.3,초록색,28.6,2020,50.544
대형,1.3,86.2,흰색,24.0,2013,56.03
중형,1.2,94.2,검은색,9.1,2020,56.52
중형,1.23,80.8,회색,23.1,2017,49.692
중형,1.1,84.8,초록색,25.7,2021,46.64
대형,1.39,71.5,푸른색,19.2,2018,49.693
대형,1.45,89.7,분홍색,22.6,2007,65.032
중형,1.24,101.8,붉은색,20.5,2021,63.116
소형,0.93,92.8,초록색,7.6,2020,43.152
중형,1.26,99.5,초록색,15.6,2014,62.685
대형,1.46,85.7,분홍색,18.2,2018,62.561
중형,1.14,104.9,회색,10.1,2018,59.793
소형,1.0,102.6,검은색,11.9,2018,51.3
대형,1.37,78.0,푸른색,23.5,2005,53.43
중형,1.2,122.9,분홍색,11.7,2007,73.74
대형,1.44,74.3,푸른색,19.2,2008,53.496
중형,1.15,87.6,초록색,12.8,2014,50.37
소형,1.03,97.6,검은색,16.7,2021,50.264
대형,1.25,75.4,분홍색,28.6,2014,47.125
소형,1.0,90.7,검은색,21.8,2013,45.35
대형,1.31,89.2,회색,19.1,2009,58.426
중형,1.08,83.1,검은색,8.4,2005,44.874
소형,0.93,92.4,초록색,8.7,2018,42.966
대형,1.25,80.3,흰색,23.2,2020,50.188
중형,1.14,81.1,푸른색,9.6,2010,46.227
중형,1.28,82.8,초록색,14.3,2010,52.992
소형,0.9,105.4,푸른색,23.4,2015,47.43
중형,1.21,116.0,초록색,13.3,2015,70.18
소형,1.02,88.8,초록색,15.0,2018,45.288
중형,1.3,81.7,회색,8.8,2017,53.105
중형,1.08,106.3,검은색,24.7,2006,57.402
대형,1.38,71.5,회색,9.7,2017,49.335
중형,1.2,111.3,회색,9.7,2016,66.78
소형,1.08,86.9,검은색,9.1,2010,46.926
대형,1.44,89.9,초록색,29.9,2015,64.728
소형,1.01,82.3,분홍색,9.5,2009,41.562
대형,1.39,85.8,회색,27.0,2018,59.631
대형,1.29,70.8,검은색,22.5,2010,45.666
소형,1.07,109.0,초록색,23.0,2010,58.315
중형,1.15,81.1,회색,8.0,2017,46.633
소형,1.1,100.7,회색,22.0,2017,55.385
소형,0.91,88.1,흰색,23.8,2009,40.086
중형,1.29,123.3,분홍색,25.5,2012,79.529
대형,1.48,76.9,흰색,23.9,2017,56.906
소형,1.07,101.4,회색,9.3,2009,54.249
중형,1.23,108.5,회색,9.2,2013,66.727
소형,0.96,104.2,초록색,27.1,2015,50.016
대형,1.26,77.0,검은색,25.5,2017,48.51
중형,1.23,114.1,붉은색,18.5,2009,70.172
대형,1.4,74.9,붉은색,15.6,2008,52.43
중형,1.11,85.3,흰색,19.1,2005,47.342
소형,1.1,87.5,초록색,19.2,2016,48.125
중형,1.29,108.4,붉은색,25.6,2009,69.918
소형,0.97,87.2,검은색,18.9,2014,42.292
대형,1.25,89.0,푸른색,14.4,2010,55.625
소형,1.01,102.5,초록색,19.3,2008,51.763
중형,1.08,115.9,푸른색,19.9,2015,62.586
중형,1.21,83.1,검은색,17.4,2020,50.276
대형,1.43,78.6,회색,16.6,2013,56.199
중형,1.21,122.1,흰색,22.3,2011,73.871
대형,1.32,86.2,푸른색,14.2,2008,56.892
대형,1.27,81.0,회색,14.5,2008,51.435
소형,0.9,104.4,회색,14.0,2018,46.98
소형,1.1,85.8,초록색,16.2,2006,47.19
중형,1.1,110.0,분홍색,10.2,2015,60.5
중형,1.15,88.7,초록색,14.8,2015,51.003
중형,1.15,104.3,검은색,9.0,2007,59.973
중형,1.3,90.2,붉은색,10.6,2005,58.63
소형,1.03,85.6,푸른색,27.2,2017,44.084
대형,1.25,74.6,검은색,25.5,2016,46.625
대형,1.34,82.4,분홍색,29.2,2008,55.208
중형,1.13,115.0,초록색,15.7,2014,64.975
중형,1.14,87.9,흰색,18.8,2011,50.103
중형,1.15,91.7,회색,9.2,2013,52.728
소형,1.09,95.6,검은색,27.4,2005,52.102
대형,1.39,79.1,분홍색,18.9,2011,54.975
대형,1.37,85.6,초록색,7.4,2021,58.636
중형,1.15,82.5,푸른색,20.1,2010,47.438
대형,1.26,81.5,검은색,16.5,2014,51.345
소형,0.96,91.2,분홍색,22.8,2021,43.776
중형,1.3,86.7,검은색,14.8,2021,56.355
중형,1.3,111.0,검은색,14.3,2007,72.15
대형,1.26,81.3,흰색,9.3,2015,51.219
소형,1.03,106.8,분홍색,19.4,2013,55.002
중형,1.27,108.1,회색,7.2,2017,68.644
중형,1.06,81.3,초록색,11.2,2005,43.089
중형,1.06,100.4,붉은색,9.8,2007,53.212
중형,1.12,119.8,푸른색,8.8,2021,67.088
중형,1.07,105.1,분홍색,28.7,2007,56.229
소형,0.92,94.4,붉은색,28.1,2013,43.424
대형,1.29,80.2,분홍색,20.8,2014,51.729
대형,1.48,80.0,흰색,20.6,2008,59.2
대형,1.47,80.4,초록색,27.8,2014,59.094
대형,1.46,82.4,흰색,16.0,2006,60.152
중형,1.05,93.5,흰색,25.2,2015,49.087
소형,1.03,100.3,분홍색,20.0,2008,51.655
대형,1.35,89.4,푸른색,7.4,2012,60.345
중형,1.24,82.6,붉은색,13.7,2006,51.212
중형,1.15,105.7,분홍색,19.2,2005,60.778
대형,1.27,90.0,분홍색,15.3,2005,57.15
소형,1.01,82.3,분홍색,11.8,2020,41.562
중형,1.09,122.9,회색,21.5,2019,66.981
대형,1.48,81.4,붉은색,21.0,2005,60.236
소형,0.97,86.9,흰색,17.0,2009,42.147
중형,1.29,121.1,붉은색,13.7,2014,78.11
소형,0.94,85.1,검은색,22.7,2012,39.997
대형,1.32,73.7,푸른색,12.9,2012,48.642
중형,1.09,108.8,붉은색,11.4,2017,59.296
중형,1.24,85.6,초록색,16.3,2018,53.072
중형,1.26,101.7,검은색,15.5,2013,64.071
중형,1.22,98.5,초록색,8.4,2005,60.085
대형,1.44,75.6,흰색,24.5,2005,54.432
소형,0.98,93.9,초록색,17.9,2021,46.011
소형,1.1,104.3,흰색,14.8,2018,57.365
소형,0.92,107.1,푸른색,17.2,2009,49.266
중형,1.2,98.1,초록색,15.3,2019,58.86
대형,1.32,76.4,푸른색,20.0,2010,50.424
대형,1.44,71.6,푸른색,8.7,2008,51.552
중형,1.29,105.4,분홍색,29.8,2008,67.983
소형,1.02,103.7,푸른색,10.8,2010,52.887
대형,1.38,74.8,붉은색,23.4,2019,51.612
대형,1.49,76.6,푸른색,17.2,2015,57.067
소형,1.05,95.7,회색,15.7,2019,50.243
대형,1.25,72.7,흰색,11.5,2010,45.438
대형,1.5,72.8,초록색,26.2,2016,54.6
소형,0.93,91.7,초록색,16.7,2005,42.641
대형,1.29,74.7,분홍색,14.1,2015,48.181
중형,1.07,80.7,회색,9.7,2013,43.175
소형,0.95,81.1,초록색,13.5,2006,38.523
중형,1.16,93.1,붉은색,8.0,2020,53.998
소형,0.97,84.9,회색,15.9,2007,41.177
소형,1.05,85.8,회색,16.5,2017,45.045
중형,1.29,115.7,흰색,30.0,2019,74.627
대형,1.43,74.0,분홍색,28.1,2015,52.91
소형,0.91,89.0,검은색,30.0,2014,40.495
중형,1.07,112.2,초록색,14.4,2015,60.027
대형,1.4,76.8,푸른색,29.7,2009,53.76
소형,1.02,93.3,흰색,12.6,2021,47.583
소형,1.02,97.2,분홍색,29.0,2012,49.572
소형,0.96,103.6,분홍색,24.7,2012,49.728
소형,0.95,84.4,회색,17.6,2009,40.09
소형,1.07,99.0,붉은색,20.5,2020,52.965
중형,1.22,84.4,붉은색,22.2,2015,51.484
대형,1.34,71.6,푸른색,26.7,2010,47.972
중형,1.24,123.9,초록색,9.6,2008,76.818
소형,1.05,100.4,흰색,17.4,2020,52.71
소형,1.03,91.5,검은색,15.2,2009,47.123
소형,0.99,80.9,푸른색,11.6,2019,40.046
중형,1.24,101.3,붉은색,28.9,2007,62.806
중형,1.21,109.1,회색,18.7,2017,66.005
대형,1.34,71.1,검은색,18.0,2017,47.637
중형,1.29,84.6,초록색,28.3,2011,54.567
대형,1.33,86.9,검은색,8.0,2020,57.789
중형,1.22,87.9,푸른색,22.8,2021,53.619
중형,1.17,116.8,흰색,7.4,2018,68.328
중형,1.29,110.8,붉은색,10.5,2007,71.466
중형,1.26,119.0,흰색,21.0,2011,74.97
중형,1.16,124.4,분홍색,17.9,2005,72.152
소형,0.92,88.1,검은색,13.1,2012,40.526
소형,1.06,94.5,회색,20.5,2016,50.085
소형,0.93,98.1,분홍색,8.6,2020,45.617
중형,1.11,82.2,푸른색,8.9,2021,45.621
중형,1.16,103.9,분홍색,27.6,2010,60.262
대형,1.46,83.0,흰색,7.3,2021,60.59
중형,1.16,90.4,흰색,9.2,2007,52.432
대형,1.43,90.0,흰색,13.5,2015,64.35
소형,1.03,84.0,푸른색,19.5,2020,43.26
대형,1.34,76.9,분홍색,24.5,2021,51.523
대형,1.32,72.5,회색,10.1,2012,47.85
중형,1.09,105.2,흰색,13.9,2019,57.334
대형,1.42,79.1,회색,26.2,2009,56.161
중형,1.09,112.9,초록색,22.8,2017,61.531
소형,0.96,95.6,분홍색,28.1,2020,45.888
대형,1.43,75.5,붉은색,8.2,2010,53.982
소형,0.95,107.0,분홍색,19.0,2009,50.825
대형,1.49,84.2,분홍색,24.0,2013,62.729
중형,1.25,88.8,회색,25.3,2008,55.5
소형,1.03,85.8,회색,29.3,2012,44.187
대형,1.31,72.1,붉은색,24.9,2012,47.226
대형,1.33,83.2,검은색,8.9,2018,55.328
중형,1.16,90.3,흰색,8.7,2014,52.374
소형,0.93,90.4,초록색,21.3,2017,42.036
대형,1.33,89.5,초록색,27.6,2011,59.518
중형,1.22,119.6,회색,8.0,2006,72.956
소형,0.94,85.6,분홍색,18.6,2021,40.232
소형,1.03,98.3,붉은색,22.8,2021,50.625
대형,1.35,82.5,흰색,24.7,2006,55.688
소형,0.99,94.6,검은색,28.1,2015,46.827
대형,1.32,71.1,검은색,13.7,2016,46.926
대형,1.47,75.2,분홍색,17.4,2013,55.272
대형,1.37,88.5,회색,13.0,2014,60.623
대형,1.26,86.2,푸른색,7.7,2015,54.306
대형,1.28,78.8,흰색,24.7,2014,50.432
대형,1.45,83.9,분홍색,23.5,2014,60.828
대형,1.33,85.6,붉은색,7.2,2011,56.924
중형,1.14,83.7,초록색,13.4,2007,47.709
소형,1.09,109.1,푸른색,23.7,2018,59.46
소형,0.96,103.9,분홍색,21.5,2011,49.872
대형,1.33,81.7,흰색,12.5,2016,54.331
소형,1.08,90.8,붉은색,26.7,2008,49.032
소형,1.04,98.8,분홍색,7.5,2017,51.376
소형,1.02,96.5,흰색,23.9,2021,49.215
대형,1.28,88.7,검은색,26.1,2017,56.768
대형,1.39,89.5,흰색,12.1,2014,62.203
중형,1.18,90.2,푸른색,18.3,2015,53.218
중형,1.26,92.2,붉은색,11.2,2016,58.086
중형,1.26,121.7,회색,14.8,2020,76.671
소형,1.03,104.1,푸른색,8.2,2007,53.612
대형,1.27,72.9,초록색,27.0,2008,46.292
중형,1.14,101.8,푸른색,28.5,2017,58.026
대형,1.46,84.7,흰색,18.1,2007,61.831
대형,1.26,75.6,붉은색,20.2,2011,47.628
중형,1.25,81.0,흰색,23.8,2013,50.625
소형,0.95,80.0,초록색,14.8,2021,38.0
소형,0.92,99.2,초록색,18.4,2005,45.632
대형,1.43,72.0,초록색,27.5,2019,51.48
대형,1.25,79.1,푸른색,14.0,2020,49.438
중형,1.29,97.9,분홍색,23.1,2011,63.146
대형,1.41,80.8,푸른색,8.8,2018,56.964
소형,1.1,93.8,푸른색,12.9,2009,51.59
대형,1.27,72.5,붉은색,18.2,2014,46.038
소형,1.05,87.1,흰색,25.9,2013,45.728
중형,1.1,118.5,흰색,19.3,2008,65.175
중형,1.2,124.2,분홍색,11.9,2007,74.52
대형,1.26,74.1,회색,9.0,2005,46.683
소형,0.91,90.0,검은색,18.7,2017,40.95
소형,1.09,83.9,검은색,11.5,2012,45.726
대형,1.46,81.1,초록색,7.7,2013,59.203
중형,1.09,123.2,검은색,14.6,2015,67.144
소형,0.99,97.6,회색,14.6,2009,48.312
대형,1.45,76.4,분홍색,26.4,2008,55.39
대형,1.42,82.1,흰색,10.5,2020,58.291
소형,1.1,100.4,분홍색,25.3,2008,55.22
소형,1.02,86.7,분홍색,12.3,2011,44.217
중형,1.29,124.7,검은색,29.4,2009,80.431
대형,1.34,78.0,회색,8.1,2005,52.26
소형,1.07,97.1,흰색,23.6,2011,51.949
중형,1.3,98.2,분홍색,13.8,2018,63.83
소형,0.9,97.0,흰색,28.1,2009,43.65
소형,1.1,82.3,초록색,28.8,2008,45.265
소형,0.92,109.9,흰색,8.5,2021,50.554
소형,0.94,94.2,분홍색,10.4,2006,44.274
대형,1.42,76.0,초록색,20.7,2010,53.96
소형,1.07,91.7,검은색,26.4,2019,49.06
소형,0.91,106.7,흰색,26.6,2012,48.549
소형,1.01,100.7,흰색,18.5,2006,50.854
중형,1.05,122.0,푸른색,9.2,2016,64.05
중형,1.26,93.4,분홍색,13.9,2010,58.842
소형,1.0,101.3,회색,7.5,2009,50.65
소형,0.95,86.8,분홍색,14.5,2006,41.23
대형,1.48,77.5,초록색,27.0,2020,57.35
중형,1.2,81.5,분홍색,28.4,2012,48.9
소형,1.06,94.8,푸른색,9.9,2005,50.244
중형,1.15,115.9,회색,11.7,2006,66.643
소형,1.06,101.1,푸른색,10.1,2018,53.583
대형,1.36,88.1,분홍색,16.2,2005,59.908
중형,1.09,113.0,회색,21.7,2017,61.585
대형,1.42,75.4,흰색,21.4,2010,53.534
소형,0.94,95.0,초록색,24.7,2011,44.65
대형,1.46,80.1,푸른색,11.2,2012,58.473
대형,1.27,74.6,분홍색,17.4,2008,47.371
대형,1.47,75.9,검은색,29.3,2009,55.787
중형,1.07,93.4,푸른색,16.0,2021,49.969
소형,1.02,96.8,푸른색,17.8,2015,49.368
소형,1.07,100.1,붉은색,9.7,2019,53.554
소형,0.99,88.7,흰색,22.5,2020,43.907
소형,1.06,80.9,푸른색,25.3,2006,42.877
대형,1.32,78.7,분홍색,11.0,2011,51.942
중형,1.19,108.0,회색,16.8,2010,64.26
대형,1.46,81.9,푸른색,11.1,2015,59.787
소형,1.09,94.5,회색,25.7,2005,51.503
대형,1.32,80.1,회색,12.9,2015,52.866
대형,1.42,74.8,회색,19.8,2011,53.108
대형,1.25,73.6,푸른색,7.7,2016,46.0
대형,1.49,89.6,흰색,22.7,2010,66.752
대형,1.48,80.9,검은색,18.5,2012,59.866
중형,1.09,90.5,회색,20.1,2018,49.323
중형,1.06,111.2,붉은색,22.6,2020,58.936
중형,1.24,115.6,검은색,17.4,2015,71.672
대형,1.45,76.4,회색,29.9,2011,55.39
대형,1.45,76.2,회색,29.4,2018,55.245
대형,1.5,85.3,붉은색,10.7,2016,63.975
중형,1.12,119.8,붉은색,7.8,2021,67.088
중형,1.2,98.4,푸른색,28.1,2012,59.04
중형,1.22,85.2,붉은색,29.6,2010,51.972
소형,0.95,106.6,붉은색,16.1,2006,50.635
중형,1.22,99.5,푸른색,14.7,2012,60.695
소형,0.91,92.6,푸른색,15.3,2005,42.133
중형,1.22,121.8,붉은색,27.9,2015,74.298
소형,0.95,102.2,분홍색,17.7,2012,48.545
대형,1.37,77.9,회색,14.5,2020,53.362
중형,1.3,95.6,흰색,22.3,2014,62.14
대형,1.46,89.0,초록색,23.8,2009,64.97
중형,1.06,120.9,붉은색,22.3,2016,64.077
소형,1.01,80.1,붉은색,8.6,2018,40.451
소형,0.98,105.6,초록색,12.1,2019,51.744
대형,1.45,83.8,회색,27.9,2007,60.755
중형,1.08,101.1,검은색,21.0,2015,54.594
소형,0.94,109.5,회색,22.3,2013,51.465
대형,1.49,88.9,회색,10.3,2020,66.231
대형,1.5,87.1,분홍색,27.2,2021,65.325
소형,1.07,101.6,붉은색,13.5,2012,54.356
소형,0.9,105.9,붉은색,18.8,2019,47.655
소형,1.07,96.7,검은색,21.9,2005,51.735
중형,1.07,113.4,흰색,17.5,2012,60.669
중형,1.12,118.4,회색,11.0,2019,66.304
소형,1.09,98.0,흰색,19.1,2011,53.41
대형,1.32,74.2,회색,13.0,2005,48.972
중형,1.23,111.5,붉은색,25.2,2017,68.573
중형,1.22,102.1,붉은색,15.9,2008,62.281
중형,1.26,94.1,푸른색,29.1,2005,59.283
대형,1.33,84.0,흰색,17.8,2013,55.86
중형,1.16,83.5,초록색,20.2,2007,48.43
중형,1.09,95.5,회색,8.8,2007,52.048
소형,0.98,87.7,초록색,11.9,2019,42.973
대형,1.27,87.9,흰색,9.3,2019,55.817
대형,1.47,78.5,푸른색,25.4,2010,57.697
대형,1.44,72.8,회색,12.7,2008,52.416
중형,1.12,110.5,초록색,18.7,2016,61.88
소형,1.07,103.2,분홍색,16.6,2009,55.212
소형,1.09,101.3,푸른색,12.6,2011,55.209
중형,1.1,108.7,분홍색,27.0,2010,59.785
대형,1.47,85.2,회색,29.5,2008,62.622
소형,1.03,96.0,푸른색,13.1,2010,49.44
중형,1.24,82.3,분홍색,28.0,2019,51.026
중형,1.16,122.7,분홍색,8.6,2021,71.166
소형,0.9,85.1,검은색,14.0,2011,38.295
대형,1.3,84.2,흰색,17.3,2009,54.73
중형,1.24,101.6,분홍색,19.7,2007,62.992
소형,1.09,81.9,분홍색,22.6,2006,44.636
소형,1.1,91.5,붉은색,20.2,2015,50.325
소형,1.04,98.9,푸른색,9.9,2016,51.428
중형,1.05,88.7,회색,17.7,2020,46.568
소형,0.95,105.6,분홍색,11.9,2012,50.16
소형,0.9,98.1,분홍색,24.7,2005,44.145
소형,1.08,98.0,붉은색,15.9,2006,52.92
중형,1.22,116.2,붉은색,10.4,2021,70.882
중형,1.3,80.2,초록색,18.4,2021,52.13
대형,1.32,75.6,초록색,17.6,2018,49.896
소형,1.03,90.0,푸른색,15.9,2018,46.35
대형,1.48,90.0,분홍색,14.8,2021,66.6
중형,1.21,98.1,검은색,8.3,2015,59.351
중형,1.15,95.6,초록색,29.2,2014,54.97
중형,1.24,98.8,푸른색,8.2,2013,61.256
대형,1.46,72.8,검은색,23.7,2012,53.144
중형,1.18,91.6,검은색,29.2,2015,54.044
중형,1.05,106.9,초록색,12.9,2015,56.123
소형,1.05,93.7,초록색,7.1,2007,49.193
중형,1.26,122.6,붉은색,8.6,2011,77.238
대형,1.38,86.8,붉은색,10.3,2019,59.892
중형,1.22,82.5,회색,8.3,2012,50.325
소형,1.04,97.6,분홍색,24.7,2017,50.752
대형,1.32,80.3,검은색,27.6,2014,52.998
소형,1.03,97.0,회색,30.0,2005,49.955
중형,1.08,119.8,회색,8.1,2007,64.692
중형,1.14,91.4,초록색,14.5,2017,52.098
소형,1.09,105.8,분홍색,14.2,2008,57.661
대형,1.46,75.8,초록색,16.0,2019,55.334
소형,0.91,107.2,검은색,26.4,2006,48.776
중형,1.25,107.5,검은색,19.1,2007,67.188
중형,1.08,82.8,회색,11.5,2006,44.712
대형,1.33,72.1,검은색,9.7,2017,47.947
중형,1.27,86.7,흰색,19.3,2018,55.055
중형,1.18,114.2,분홍색,19.3,2013,67.378
소형,1.08,107.8,분홍색,25.7,2016,58.212
소형,0.94,98.0,흰색,14.8,2007,46.06
중형,1.27,114.6,푸른색,20.6,2006,72.771
중형,1.24,103.9,붉은색,8.3,2005,64.418
대형,1.33,73.6,초록색,10.2,2012,48.944
대형,1.47,89.7,붉은색,20.2,2015,65.93
대형,1.27,87.4,회색,17.4,2005,55.499
소형,0.94,84.2,회색,8.6,2008,39.574
소형,1.08,98.5,분홍색,16.6,2005,53.19
소형,1.06,109.0,검은색,26.3,2019,57.77
대형,1.43,79.8,푸른색,14.8,2018,57.057
소형,0.98,104.8,회색,8.5,2015,51.352
소형,1.05,85.3,붉은색,23.2,2006,44.783
대형,1.45,76.4,초록색,12.2,2012,55.39
대형,1.43,77.8,검은색,21.7,2011,55.627
중형,1.13,97.8,분홍색,23.1,2013,55.257
중형,1.15,97.9,회색,12.6,2009,56.293
대형,1.26,90.0,검은색,17.4,2005,56.7
중형,1.17,112.2,붉은색,21.4,2019,65.637
대형,1.5,84.7,붉은색,20.5,2012,63.525
대형,1.42,80.4,검은색,7.2,2012,57.084
소형,0.9,92.9,붉은색,27.5,2009,41.805
대형,1.42,76.0,흰색,21.8,2021,53.96
소형,0.99,107.2,초록색,11.9,2011,53.064
중형,1.05,101.2,분홍색,12.2,2006,53.13
소형,0.99,85.0,분홍색,15.4,2007,42.075
중형,1.29,112.1,흰색,16.7,2009,72.305
대형,1.25,84.8,붉은색,23.0,2007,53.0
대형,1.37,72.9,검은색,14.0,2015,49.937
대형,1.45,79.4,검은색,22.0,2016,57.565
대형,1.36,71.5,초록색,13.1,2009,48.62
대형,1.49,71.5,푸른색,9.4,2017,53.267
대형,1.32,71.5,붉은색,12.4,2011,47.19
대형,1.45,77.5,검은색,27.8,2006,56.188
대형,1.38,74.0,초록색,21.3,2016,51.06
소형,1.01,102.0,회색,22.9,2010,51.51
대형,1.36,77.9,붉은색,7.8,2008,52.972
대형,1.5,72.5,붉은색,10.4,2008,54.375
중형,1.17,82.7,회색,20.2,2018,48.38
소형,1.08,85.0,푸른색,23.0,2014,45.9
대형,1.31,80.9,흰색,7.4,2012,52.99
중형,1.1,115.7,푸른색,24.3,2018,63.635
중형,1.13,120.8,초록색,26.1,2005,68.252
소형,1.04,83.0,검은색,19.9,2011,43.16
중형,1.22,83.8,검은색,7.9,2013,51.118
대형,1.43,88.2,회색,7.9,2015,63.063
소형,0.97,106.2,초록색,17.3,2007,51.507
중형,1.15,87.1,흰색,14.1,2009,50.083
중형,1.24,91.4,분홍색,14.7,2020,56.668
중형,1.25,90.9,흰색,8.3,2013,56.812
소형,1.01,87.8,붉은색,11.6,2008,44.339
소형,0.92,92.9,검은색,26.6,2014,42.734
대형,1.36,84.8,초록색,9.6,2013,57.664
소형,0.97,91.4,초록색,29.7,2017,44.329
중형,1.3,106.2,붉은색,22.0,2018,69.03
소형,1.0,105.0,검은색,12.7,2013,52.5
소형,1.1,81.2,흰색,10.7,2021,44.66
중형,1.27,122.6,분홍색,24.1,2008,77.851
소형,0.99,94.0,흰색,12.5,2021,46.53
대형,1.49,81.0,푸른색,17.4,2005,60.345
소형,0.96,95.8,붉은색,19.3,2018,45.984
중형,1.09,105.7,붉은색,9.7,2020,57.607
중형,1.17,123.9,분홍색,16.1,2012,72.481
소형,1.08,95.1,회색,10.3,2017,51.354
대형,1.39,74.7,흰색,11.5,2015,51.917
중형,1.08,119.7,검은색,22.7,2015,64.638
중형,1.21,85.1,푸른색,23.9,2016,51.486
소형,1.0,87.5,초록색,28.6,2015,43.75
중형,1.2,94.9,붉은색,21.1,2010,56.94
소형,1.07,98.0,분홍색,17.8,2006,52.43
대형,1.25,86.3,푸른색,8.7,2008,53.938
중형,1.16,123.3,검은색,13.7,2016,71.514
소형,1.01,94.2,검은색,28.5,2015,47.571
중형,1.07,118.8,분홍색,15.2,2009,63.558
중형,1.07,96.0,푸른색,9.4,2020,51.36
중형,1.09,91.3,푸른색,12.2,2014,49.759
대형,1.36,77.0,회색,28.6,2009,52.36
중형,1.1,82.1,분홍색,22.4,2006,45.155
소형,0.96,92.0,초록색,16.4,2006,44.16
